Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
M,62.0,1138.99,High,Pensioner,Retired,Rural,92675.18,300.46,2.0,848.71,0,Active,Rural,1,157198.03,64872.63,True
M,29.0,2856.66,Low,Commercial associate,Core staff,Semi-Urban,72919.77,607.33,3.0,754.2,0,Inactive,Rural,1,128083.82,54689.83,True
M,29.0,3436.41,Low,Working,Not available,Semi-Urban,203664.34,744.17,3.0,768.6,0,Inactive,Semi-Urban,1,333335.45,142565.04,True
M,51.0,3778.53,Low,Commercial associate,Managers,Semi-Urban,118105.6,637.05,2.0,724.45,0,Active,Rural,1,146404.51,76768.64,True
F,27.0,5351.7775,Low,Working,Managers,Rural,246597.03749999998,713.1,2.0,787.52,1,Inactive,Semi-Urban,1,369850.44375,177270.41499999998,True
F,63.0,1824.16,Low,Working,Laborers,Semi-Urban,44162.2,375.27,4.0,653.7,0,Unpossessed,Rural,1,49327.01,30913.54,True
M,61.0,2072.92,Low,Working,Sales staff,Semi-Urban,66451.52,335.42,0.0,765.29,0,Inactive,Rural,1,111108.21,46516.06,True
M,34.0,1869.45,Low,Commercial associate,Security staff,Rural,135011.83,441.3,2.0,760.66,0,Active,Semi-Urban,1,182811.28,101258.87,True
F,18.0,2182.03,Low,Commercial associate,Core staff,Semi-Urban,40875.67,312.23,4.0,710.45,0,Inactive,Semi-Urban,1,73921.13,28612.97,True
F,42.0,1841.65,Low,Working,Managers,Semi-Urban,118584.31,559.54,2.0,740.04,0,Inactive,Semi-Urban,1,198158.94,88938.23,True
F,43.0,2617.91,Low,Working,Accountants,Semi-Urban,33589.45,326.7,1.0,740.04,1,Active,Semi-Urban,1,52795.98,23512.62,True
M,40.0,1337.02,Low,Working,Secretaries,Semi-Urban,25194.03,133.02,3.0,735.42,0,Inactive,Rural,1,29031.66,16376.12,True
F,21.0,0.0,Low,Commercial associate,Managers,Semi-Urban,60067.91,313.11,4.0,769.61,1,Active,Rural,1,101194.74,45050.93,True
F,59.0,4737.6,Low,Commercial associate,Laborers,Urban,59053.04,310.07,2.0,740.04,0,Active,Rural,1,103251.3,41337.13,True
F,19.0,1062.92,Low,Commercial associate,Sales staff,Semi-Urban,134401.22,347.02,4.0,745.62,0,Unpossessed,Semi-Urban,1,232405.63,87360.79,True
M,61.0,1807.11,Low,Working,Core staff,Semi-Urban,129690.38,407.01,4.0,768.21,1,Unpossessed,Semi-Urban,1,243481.38,90783.27,True
M,61.0,0.0,Low,Commercial associate,Not available,Rural,28418.06,192.2,0.0,740.04,0,Active,Rural,1,40812.23,19892.64,True
M,50.0,0.0,Low,Working,Laborers,Rural,63959.85,718.15,3.0,711.51,1,Inactive,Semi-Urban,1,90553.46,44771.9,True
M,33.0,2459.96,Low,Commercial associate,Not available,Semi-Urban,224118.36,627.22,3.0,814.73,0,Inactive,Rural,1,293337.37,156882.85,True
M,36.0,4484.72,Low,Working,Not available,Rural,232479.52,826.24,2.0,833.67,0,Unpossessed,Urban,1,327129.54,162735.66,True
F,33.0,1650.64,Low,Working,Laborers,Semi-Urban,33656.45,234.2,2.0,691.17,1,Active,Urban,1,59957.39,23559.51,True
M,32.0,2827.91,Low,Working,Sales staff,Semi-Urban,19924.19,219.48,5.0,707.47,1,Active,Urban,1,24790.76,12950.72,True
F,39.0,2822.15,Low,Working,High skill tech staff,Rural,168918.55,437.47,4.0,673.41,0,Inactive,Semi-Urban,1,276763.41,118242.98,True
F,59.0,1945.31,Low,Working,Sales staff,Rural,7655.82,96.2,0.0,805.22,0,Unpossessed,Semi-Urban,1,12692.54,5741.86,True
M,42.0,0.0,Low,Working,Drivers,Semi-Urban,67852.76,505.87,2.0,757.95,1,Active,Urban,1,77703.21,54282.21,True
M,21.0,4108.59,Low,Commercial associate,High skill tech staff,Urban,74144.47,369.89,3.0,852.99,0,Unpossessed,Urban,1,96054.1,55608.35,True
F,18.0,5351.7775,Low,Working,Drivers,Semi-Urban,191059.78,810.7,1.0,826.86,0,Inactive,Semi-Urban,1,260160.51,143294.84,True
F,46.0,0.0,Low,Working,Sales staff,Semi-Urban,34193.93,258.09,1.0,699.74,0,Inactive,Urban,1,54948.65,23935.75,True
M,18.0,2361.8,Low,Commercial associate,Laborers,Rural,143382.54,377.04,2.0,712.8,0,Inactive,Urban,1,266491.23,100367.78,True
F,43.0,3296.59,Low,Working,Laborers,Rural,87596.67,478.07,3.0,650.77,1,Inactive,Semi-Urban,1,128992.02,56937.84,True
M,64.0,725.64,High,Pensioner,Retired,Rural,85190.13,294.73,2.0,750.13,0,Active,Rural,0,116882.53,68152.1,True
F,24.0,1898.62,Low,Working,Waiters/barmen staff,Semi-Urban,86604.98,439.91,2.0,799.85,0,Active,Rural,1,148803.63,60623.49,True
F,65.0,2619.81,High,Pensioner,Retired,Semi-Urban,123322.36,523.81,2.0,812.12,0,Active,Rural,1,223097.47,86325.65,True
M,32.0,4816.54,Low,Working,Managers,Semi-Urban,231683.51,946.50875,2.0,797.02,0,Unpossessed,Rural,1,369850.44375,173762.63,True
M,25.0,3906.91,Low,Working,Medicine staff,Semi-Urban,101621.45,946.50875,3.0,687.32,1,Active,Semi-Urban,1,186881.35,71135.02,True
M,30.0,2445.84,Low,Working,Laborers,Semi-Urban,170035.03,503.76,1.0,853.84,0,Unpossessed,Urban,1,291123.79,127526.27,True
F,27.0,1177.65,Low,Working,Security staff,Semi-Urban,19129.51,97.18,3.0,800.43,0,Active,Urban,1,27587.47,14347.13,True
M,26.0,5351.7775,Low,Working,Not available,Urban,72344.08,267.99,2.0,843.89,0,Inactive,Urban,1,108170.16,54258.06,True
M,18.0,3173.72,Low,State servant,Core staff,Rural,43393.61,273.91,0.0,732.35,0,Unpossessed,Urban,1,66614.56,30375.53,True
M,63.0,1671.54,Low,Commercial associate,Core staff,Urban,47051.94,444.12,5.0,740.04,0,Active,Urban,1,80561.19,35288.96,True
F,56.0,3110.32,Low,Commercial associate,Accountants,Semi-Urban,57905.77,261.94,2.0,748.67,1,Inactive,Urban,1,83465.59,40534.04,True
M,51.0,0.0,Low,Working,Not available,Semi-Urban,73311.17,445.65,0.0,799.84,0,Active,Rural,1,106856.2,58648.94,True
F,46.0,1725.65,Low,Working,Core staff,Semi-Urban,94985.55,376.51,3.0,800.71,0,Inactive,Rural,1,123473.05,75988.44,True
F,33.0,3096.56,Low,State servant,Core staff,Semi-Urban,143342.17,445.61,1.0,786.75,0,Active,Rural,1,163346.66,100339.52,True
M,39.0,2845.91,Low,Working,Sales staff,Semi-Urban,158591.96,418.21,1.0,784.61,0,Unpossessed,Urban,1,266906.5,111014.37,True
F,38.0,1650.45,Low,Working,Managers,Semi-Urban,82819.01,408.66,1.0,715.31,1,Active,Rural,1,147625.12,53832.36,True
M,48.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,162085.19,653.63,3.0,772.93,0,Inactive,Urban,1,220069.29,113459.63,True
M,18.0,3485.52,Low,Working,Sales staff,Semi-Urban,110287.39,540.94,3.0,682.73,0,Inactive,Rural,1,178833.28,77201.17,True
M,33.0,0.0,Low,Commercial associate,Laborers,Urban,246597.03749999998,940.83,2.0,730.14,0,Inactive,Semi-Urban,1,369850.44375,172960.85,True
F,57.0,2828.41,Low,Working,Laborers,Semi-Urban,34989.46,279.46,4.0,704.24,0,Unpossessed,Rural,1,42327.3,22743.15,True
F,30.0,2116.79,Low,Working,Sales staff,Semi-Urban,42257.89,209.03,2.0,740.04,0,Inactive,Semi-Urban,1,73883.27,31693.42,True
F,52.0,3317.4,Low,Working,Sales staff,Semi-Urban,89035.87,432.12,3.0,740.04,1,Active,Semi-Urban,1,122857.83,62325.11,True
F,20.0,0.0,Low,Working,High skill tech staff,Rural,44407.09,186.4,1.0,689.6,0,Unpossessed,Urban,1,83694.77,31084.96,True
M,52.0,4874.17,Low,Commercial associate,Laborers,Semi-Urban,36821.57,473.38,1.0,659.5,0,Active,Semi-Urban,1,65195.66,25775.1,True
M,29.0,3486.73,Low,Working,Not available,Semi-Urban,61760.76,306.35,2.0,737.27,0,Inactive,Rural,1,75318.74,43232.53,True
F,31.0,4844.26,Low,Working,Not available,Urban,130396.27,595.48,3.0,829.82,0,Unpossessed,Rural,1,197274.85,104317.02,True
F,62.0,2783.37,High,Pensioner,Retired,Urban,199378.32,515.71,2.0,860.57,0,Inactive,Semi-Urban,0,246258.21,139564.82,True
F,63.0,2560.46,High,Pensioner,Retired,Semi-Urban,31185.18,210.49,2.0,817.31,1,Active,Semi-Urban,1,38556.53,21829.63,True
M,59.0,3264.94,Low,Working,Drivers,Semi-Urban,102217.52,564.83,3.0,768.2,0,Active,Semi-Urban,1,180449.46,76663.14,True
M,60.0,2473.82,Low,Working,Laborers,Rural,132848.17,658.35,3.0,701.73,0,Active,Semi-Urban,1,161762.47,86351.31,True
F,48.0,2438.59,Low,Working,Core staff,Semi-Urban,75733.26,374.4,0.0,689.24,0,Active,Urban,1,126720.27,49226.62,True
M,41.0,1198.34,Low,Working,Laborers,Rural,38630.09,209.12,2.0,764.3,0,Active,Semi-Urban,1,57200.38,30904.07,True
F,48.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,184145.78,946.50875,2.0,685.11,0,Active,Rural,1,299143.38,119694.76,True
F,18.0,1599.8,Low,Working,Core staff,Rural,44327.91,292.03,3.0,691.45,1,Inactive,Semi-Urban,1,54991.45,28813.14,True
M,58.0,2466.51,Low,Working,Accountants,Rural,71879.76,390.45,3.0,819.56,0,Inactive,Urban,1,99948.87,53909.82,True
M,27.0,0.0,Low,Commercial associate,Managers,Semi-Urban,125057.91,486.61,0.0,788.79,0,Active,Urban,1,231724.0,100046.33,True
M,46.0,0.0,Low,Working,Not available,Semi-Urban,163177.37,604.4,2.0,778.73,0,Inactive,Urban,1,230082.71,114224.16,True
M,47.0,0.0,Low,Working,Medicine staff,Rural,46875.59,249.66,1.0,740.04,0,Active,Rural,1,55498.22,32812.91,True
M,29.0,1916.29,Low,Working,Accountants,Rural,50668.97,249.11,4.0,785.72,0,Active,Urban,1,58669.68,35468.28,True
M,21.0,0.0,Low,Working,Medicine staff,Semi-Urban,29533.23,181.22,1.0,820.42,0,Active,Semi-Urban,1,51022.06,20673.26,True
F,35.0,5351.7775,Low,State servant,Not available,Semi-Urban,135999.64,615.41,2.0,840.72,0,Unpossessed,Rural,1,217192.07,101999.73,True
F,18.0,1595.07,Low,Working,Realty agents,Semi-Urban,38340.58,220.01,2.0,740.04,0,Active,Urban,1,63696.75,26838.41,True
M,18.0,2115.38,Low,Working,Laborers,Semi-Urban,18834.61,208.42,1.0,675.53,0,Active,Rural,1,33911.31,12242.5,True
F,27.0,3362.1,Low,Working,Laborers,Semi-Urban,100299.64,550.63,3.0,765.05,0,Inactive,Rural,1,167811.68,80239.71,True
M,18.0,1609.91,Low,Working,Laborers,Semi-Urban,86346.03,467.59,2.0,815.14,0,Active,Semi-Urban,1,141951.43,60442.22,True
M,30.0,0.0,Low,Working,Not available,Rural,173976.6,802.35,1.0,747.87,0,Active,Rural,1,217856.13,121783.62,True
F,43.0,1535.78,Low,Working,Cooking staff,Semi-Urban,38235.33,258.62,0.0,803.09,0,Inactive,Semi-Urban,1,53756.91,28676.5,True
M,18.0,0.0,Low,Working,Sales staff,Semi-Urban,161809.47,482.6,3.0,761.7,0,Active,Rural,1,276853.18,121357.1,True
M,26.0,2428.96,Low,Working,Cooking staff,Semi-Urban,110311.52,460.53,1.0,780.53,0,Active,Urban,1,149835.71,88249.22,True
M,34.0,2551.17,Low,Commercial associate,Laborers,Semi-Urban,105743.25,530.51,1.0,722.94,0,Inactive,Urban,1,200153.95,68733.11,True
F,58.0,1958.49,Low,Commercial associate,Laborers,Urban,68741.16,536.13,2.0,666.95,0,Active,Urban,1,112577.27,44681.75,True
F,58.0,2718.75,Low,Working,Laborers,Semi-Urban,120978.48,371.64,1.0,672.41,0,Unpossessed,Rural,1,220794.38,84684.94,True
M,42.0,1562.36,Low,Working,Managers,Semi-Urban,27276.26,131.55,0.0,785.19,0,Active,Urban,1,30509.37,20457.2,True
M,34.0,2069.25,Low,Working,High skill tech staff,Semi-Urban,61222.86,329.21,3.0,691.74,0,Inactive,Rural,1,115122.61,39794.86,True
F,63.0,5025.58,Low,Working,HR staff,Semi-Urban,115998.65,532.31,3.0,793.23,0,Active,Rural,1,187481.41,92798.92,True
F,35.0,4192.74,Low,Working,Accountants,Semi-Urban,246597.03749999998,946.50875,2.0,777.2,0,Active,Urban,1,369850.44375,177270.41499999998,True
M,18.0,2166.32,Low,Working,Core staff,Rural,130058.94,552.02,4.0,672.13,0,Unpossessed,Semi-Urban,1,238364.73,91041.26,True
M,18.0,5007.69,Low,Working,Managers,Semi-Urban,93880.3,336.57,3.0,841.64,1,Inactive,Semi-Urban,1,123521.32,65716.21,True
F,60.0,0.0,Low,Working,High skill tech staff,Semi-Urban,98935.32,469.93,3.0,807.17,0,Active,Urban,1,122104.48,79148.26,True
M,65.0,3196.95,High,Pensioner,Retired,Semi-Urban,75259.63,260.3,2.0,863.44,0,Inactive,Urban,0,139789.98,56444.72,True
F,49.0,2673.6,Low,Working,Laborers,Semi-Urban,114663.09,495.68,2.0,787.76,0,Active,Urban,1,137923.72,85997.32,True
F,61.0,0.0,Low,Working,Waiters/barmen staff,Semi-Urban,25051.47,269.51,1.0,756.28,1,Unpossessed,Semi-Urban,1,43386.33,20041.18,True
M,65.0,3139.71,High,Pensioner,Retired,Rural,136038.53,457.89,3.0,764.61,0,Active,Rural,1,217668.17,108830.82,True
M,33.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,88979.72,295.18,3.0,706.42,0,Unpossessed,Urban,1,135066.8,57836.82,True
M,51.0,1657.46,Low,Working,Sales staff,Semi-Urban,33502.32,229.66,2.0,678.39,0,Inactive,Rural,1,40604.41,21776.51,True
M,40.0,2486.83,Low,Commercial associate,Core staff,Semi-Urban,144610.78,461.23,3.0,756.83,1,Active,Semi-Urban,1,263005.48,108458.08,True
F,33.0,5149.95,Low,Working,Drivers,Urban,237166.5,641.73,0.0,657.33,1,Active,Urban,1,369850.44375,166016.55,True
M,19.0,1984.48,Low,Working,Cooking staff,Semi-Urban,55606.92,266.62,3.0,653.38,0,Inactive,Semi-Urban,1,100638.41,36144.5,True
M,32.0,1692.77,Low,Working,Sales staff,Urban,45076.72,264.66,2.0,795.42,1,Inactive,Semi-Urban,1,63380.24,33807.54,True
F,54.0,2687.09,Low,Working,Medicine staff,Rural,124000.19,429.97,2.0,700.78,0,Inactive,Semi-Urban,1,206950.59,80600.12,True
M,65.0,1012.73,High,Pensioner,Retired,Urban,120897.14,386.18,2.0,829.49,0,Active,Semi-Urban,0,137214.49,90672.86,True
M,49.0,2475.34,Low,Working,Core staff,Rural,66780.28,716.54,5.0,765.99,0,Active,Rural,1,125299.7,50085.21,True
M,59.0,1926.27,Low,Commercial associate,Managers,Semi-Urban,137027.83,411.19,2.0,739.69,0,Inactive,Rural,1,162344.91,89068.09,True
F,40.0,0.0,Low,Working,Medicine staff,Semi-Urban,72400.68,582.07,5.0,713.61,0,Inactive,Semi-Urban,1,103563.43,50680.48,True
M,53.0,3157.7,Low,Commercial associate,Laborers,Semi-Urban,75309.0,445.77,3.0,729.11,0,Inactive,Semi-Urban,1,90963.01,52716.3,True
M,51.0,3792.11,Low,Commercial associate,Managers,Semi-Urban,81042.65,329.37,4.0,817.39,0,Active,Semi-Urban,1,98905.92,56729.86,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,37289.33,339.77,2.0,788.56,0,Active,Urban,1,66874.76,26102.53,True
M,61.0,1221.61,Low,Working,Not available,Semi-Urban,80699.71,392.83,2.0,766.43,0,Active,Rural,1,131810.5,64559.77,True
M,35.0,2745.57,Low,Working,Laborers,Semi-Urban,122347.79,381.83,2.0,827.4,0,Active,Rural,1,154903.0,85643.45,True
M,38.0,0.0,Low,Working,Laborers,Semi-Urban,38234.28,308.71,0.0,723.57,0,Inactive,Rural,1,60131.26,26764.0,True
M,44.0,0.0,Low,Commercial associate,Core staff,Semi-Urban,11748.66,138.64,4.0,867.41,0,Unpossessed,Urban,1,13035.99,8811.49,True
F,37.0,1951.67,Low,Working,Laborers,Semi-Urban,46020.92,237.66,4.0,768.7,0,Inactive,Urban,1,57718.12,32214.64,True
F,35.0,2366.04,Low,Working,Sales staff,Semi-Urban,141561.16,372.35,1.0,687.42,0,Active,Semi-Urban,1,234793.4,99092.81,True
M,61.0,1339.46,Low,Working,Core staff,Semi-Urban,71746.63,332.55,2.0,740.04,1,Inactive,Rural,1,85173.21,57397.3,True
M,59.0,2588.03,Low,Commercial associate,Not available,Urban,71645.1,325.85,1.0,820.54,0,Active,Urban,1,84106.46,53733.82,True
F,25.0,1290.04,Low,Working,Laborers,Semi-Urban,58707.29,291.69,1.0,789.74,0,Active,Semi-Urban,1,88762.77,44030.47,True
F,35.0,1897.34,Low,Working,Core staff,Rural,209241.59,823.93,4.0,770.79,0,Unpossessed,Urban,1,332566.82,146469.11,True
F,23.0,1116.37,Low,Working,Core staff,Semi-Urban,41911.02,203.73,2.0,856.58,0,Inactive,Urban,1,57302.77,35624.37,True
F,65.0,2479.63,High,Pensioner,Retired,Semi-Urban,246262.48,593.21,2.0,767.48,1,Active,Rural,1,369850.44375,177270.41499999998,True
M,36.0,5351.7775,Low,Working,Managers,Semi-Urban,166335.1,455.25,1.0,664.75,0,Inactive,Rural,1,243810.56,108117.82,True
F,34.0,2094.25,Low,Working,Not available,Semi-Urban,55761.21,259.7,0.0,740.04,0,Active,Rural,1,97345.82,36244.79,True
M,51.0,3075.22,Low,Working,Laborers,Rural,71633.92,407.95,2.0,728.66,0,Unpossessed,Rural,1,126067.64,50143.74,True
F,65.0,577.17,High,Pensioner,Retired,Semi-Urban,27940.79,173.72,2.0,870.88,0,Active,Rural,0,46045.49,22352.63,True
M,22.0,2212.23,Low,Commercial associate,Core staff,Semi-Urban,53471.8,296.48,2.0,663.82,0,Inactive,Semi-Urban,1,68395.02,34756.67,True
M,60.0,2299.81,Low,Working,Sales staff,Semi-Urban,109172.2,354.09,2.0,789.41,0,Active,Urban,1,143400.75,81879.15,True
M,23.0,2734.52,Low,State servant,Medicine staff,Semi-Urban,93445.82,451.76,4.0,697.2,0,Active,Urban,1,160369.65,65412.07,True
F,59.0,1754.32,Low,Working,Cleaning staff,Semi-Urban,108388.11,528.42,3.0,716.43,0,Inactive,Urban,1,153631.71,70452.27,True
M,26.0,1832.76,Low,Working,Core staff,Semi-Urban,20738.51,179.12,1.0,801.47,0,Active,Rural,1,24010.32,14516.96,True
M,19.0,2046.22,Low,Working,Not available,Semi-Urban,33791.62,163.75,2.0,688.2,0,Unpossessed,Rural,1,57702.53,23654.13,True
M,57.0,3924.51,Low,State servant,Core staff,Urban,246597.03749999998,946.50875,3.0,839.51,0,Inactive,Urban,1,369850.44375,177270.41499999998,True
M,50.0,1658.59,Low,State servant,Laborers,Rural,15995.01,88.89,1.0,650.96,1,Unpossessed,Semi-Urban,1,29433.8,10396.76,True
M,60.0,3533.27,Low,Working,Managers,Semi-Urban,73977.73,718.02,1.0,756.98,0,Unpossessed,Rural,1,81908.16,51784.41,True
F,24.0,2796.89,Low,State servant,Not available,Rural,65184.2,353.02,2.0,651.12,0,Inactive,Semi-Urban,1,102834.34,45628.94,True
M,18.0,1575.87,Low,Commercial associate,Core staff,Semi-Urban,66974.51,469.31,2.0,740.04,0,Unpossessed,Urban,1,114115.35,43533.43,True
F,64.0,2781.72,High,Pensioner,Retired,Semi-Urban,68689.43,409.79,1.0,831.21,0,Unpossessed,Semi-Urban,0,125006.84,51517.07,True
F,41.0,1151.74,Low,Working,Core staff,Semi-Urban,62814.54,312.41,2.0,811.18,1,Active,Urban,1,105411.45,50251.63,True
F,46.0,0.0,Low,Working,Managers,Semi-Urban,202460.45,674.18,2.0,737.01,0,Inactive,Semi-Urban,1,293992.51,141722.32,True
F,41.0,1687.64,Low,Working,Laborers,Rural,107540.4,307.36,3.0,679.23,0,Active,Rural,1,126403.55,69901.26,True
M,65.0,1594.35,High,Pensioner,Retired,Rural,218879.13,946.50875,2.0,798.27,0,Inactive,Urban,0,307984.69,164159.35,True
M,48.0,5149.28,Low,Commercial associate,Managers,Rural,188625.99,511.27,2.0,678.37,0,Active,Semi-Urban,1,259632.5,122606.89,True
M,22.0,4161.64,Low,State servant,Managers,Semi-Urban,108879.99,666.55,2.0,738.04,0,Active,Rural,1,151579.57,70771.99,True
M,48.0,2952.59,Low,Commercial associate,Realty agents,Urban,24399.24,294.29,2.0,734.15,1,Active,Urban,1,43377.07,15859.51,True
F,43.0,0.0,Low,Working,Sales staff,Semi-Urban,21406.34,252.22,1.0,682.46,0,Active,Rural,1,32871.09,13914.12,True
F,37.0,1695.29,Low,Working,Laborers,Urban,49791.79,237.95,3.0,738.5,0,Inactive,Semi-Urban,1,65253.79,32364.66,True
F,59.0,5318.83,Low,Working,Core staff,Semi-Urban,238213.18,728.9,2.0,746.44,0,Inactive,Rural,1,369850.44375,154838.57,True
F,26.0,2832.01,Low,Working,Laborers,Semi-Urban,242768.44,674.13,0.0,657.91,0,Unpossessed,Rural,1,313559.94,157799.49,True
M,18.0,4106.54,Low,Working,Laborers,Semi-Urban,246070.98,751.65,2.0,740.04,0,Active,Urban,1,313220.44,172249.69,True
F,52.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,40047.42,182.79,2.0,749.88,0,Unpossessed,Semi-Urban,1,56575.09,26030.82,True
M,55.0,1645.04,Low,State servant,Cooking staff,Semi-Urban,27654.32,132.29,2.0,661.01,0,Active,Semi-Urban,1,31055.49,19358.02,True
F,18.0,3398.86,Low,Commercial associate,Managers,Semi-Urban,115616.99,390.94,2.0,821.79,0,Unpossessed,Rural,1,176367.0,86712.74,True
M,57.0,3829.56,Low,Working,Managers,Semi-Urban,28323.83,127.97,2.0,800.39,0,Active,Urban,1,46361.55,19826.68,True
F,60.0,1892.04,Low,Working,High skill tech staff,Semi-Urban,144246.54,731.6,2.0,669.41,0,Unpossessed,Urban,1,206445.8,93760.25,True
F,18.0,4357.96,Low,State servant,Core staff,Urban,165998.97,636.61,4.0,846.12,0,Inactive,Semi-Urban,1,232126.78,124499.23,True
M,56.0,2461.61,Low,Working,Waiters/barmen staff,Semi-Urban,28334.55,309.28,2.0,681.41,0,Inactive,Rural,1,35368.04,18417.46,True
M,64.0,4272.2,Low,Working,Laborers,Semi-Urban,130257.85,706.18,3.0,740.04,0,Inactive,Urban,1,160642.4,91180.5,True
M,33.0,1625.36,Low,Working,Medicine staff,Semi-Urban,71336.0,250.74,2.0,865.47,0,Inactive,Semi-Urban,1,115881.66,49935.2,True
F,55.0,2683.56,Low,Working,Laborers,Rural,59439.89,346.3,3.0,743.26,1,Inactive,Urban,1,76464.23,38635.93,True
F,53.0,1217.07,Low,Working,Sales staff,Rural,32998.18,251.27,3.0,779.22,0,Unpossessed,Semi-Urban,1,42266.78,23098.73,True
F,18.0,943.5,Low,Working,Not available,Rural,18602.25,102.43,2.0,728.19,0,Unpossessed,Semi-Urban,1,25021.2,12091.46,True
M,18.0,1411.91,Low,Working,Sales staff,Rural,81056.68,326.43,4.0,762.1,0,Inactive,Urban,1,136192.03,60792.51,True
F,63.0,2608.96,Low,Commercial associate,Managers,Urban,136822.87,742.86,2.0,801.03,0,Active,Rural,1,248222.84,102617.15,True
M,60.0,0.0,High,Pensioner,Retired,Rural,104658.04,346.45,2.0,853.9,0,Inactive,Urban,0,186511.15,78493.53,True
M,18.0,0.0,Low,State servant,Accountants,Rural,65905.89,323.9,2.0,774.91,0,Active,Urban,1,93920.04,52724.71,True
F,54.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,156836.07,452.47,3.0,755.47,0,Unpossessed,Semi-Urban,1,186771.2,125468.86,True
F,18.0,3497.64,Low,Working,Sales staff,Semi-Urban,117108.73,434.18,2.0,657.91,0,Inactive,Semi-Urban,1,186031.42,81976.11,True
F,39.0,3193.13,Low,Commercial associate,Sales staff,Urban,187244.14,519.72,3.0,828.99,0,Active,Rural,1,329376.36,149795.31,True
F,61.0,800.75,High,Pensioner,Retired,Semi-Urban,69905.48,205.95,2.0,696.64,0,Unpossessed,Urban,1,82112.1,45438.56,True
M,58.0,0.0,Low,Working,Managers,Rural,40007.11,193.38,2.0,696.79,0,Unpossessed,Semi-Urban,1,66954.29,26004.62,True
F,61.0,2064.17,Low,Working,Sales staff,Semi-Urban,39707.71,431.54,3.0,698.95,0,Unpossessed,Semi-Urban,1,49560.12,27795.4,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,36659.18,362.36,2.0,856.96,0,Active,Urban,1,69424.46,29327.34,True
F,65.0,0.0,High,Pensioner,Retired,Rural,22955.9,150.36,0.0,844.84,0,Active,Rural,0,25438.71,16069.13,True
F,18.0,2542.43,Low,Working,Cleaning staff,Semi-Urban,101437.86,383.49,1.0,852.17,0,Unpossessed,Rural,0,152486.16,86222.18,True
M,41.0,2325.29,Low,Working,Drivers,Semi-Urban,121319.06,408.9,2.0,778.67,1,Inactive,Semi-Urban,1,140147.07,90989.3,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,25276.11,245.21,2.0,863.77,1,Inactive,Urban,1,29129.94,20220.89,True
F,59.0,1553.25,Low,Working,Laborers,Semi-Urban,28270.03,198.44,2.0,675.57,1,Inactive,Urban,1,47626.2,18375.52,True
M,18.0,2029.88,Low,Working,Accountants,Semi-Urban,119356.03,360.38,2.0,736.32,0,Inactive,Rural,1,178269.43,83549.22,True
M,55.0,0.0,Low,Commercial associate,Managers,Rural,197369.1,508.29,2.0,782.04,0,Active,Semi-Urban,1,250005.04,148026.83,True
M,23.0,2882.22,Low,Working,Laborers,Semi-Urban,154397.27,436.25,3.0,702.93,0,Inactive,Urban,1,186795.2,108078.09,True
M,46.0,1732.2,Low,Working,Core staff,Semi-Urban,126776.81,398.79,2.0,826.08,0,Unpossessed,Urban,1,169982.1,101421.45,True
F,37.0,2105.04,Low,Working,Not available,Semi-Urban,49383.58,310.1,2.0,758.71,1,Active,Urban,1,59787.24,34568.51,True
M,64.0,1953.14,High,Pensioner,Retired,Semi-Urban,95487.54,525.3,2.0,791.17,0,Active,Rural,0,152628.44,66841.28,True
M,61.0,0.0,Low,Working,Laborers,Semi-Urban,40588.6,224.64,2.0,692.59,1,Inactive,Urban,1,74039.87,26382.59,True
F,18.0,3183.98,Low,Commercial associate,Sales staff,Semi-Urban,64271.04,409.5,2.0,756.24,0,Active,Semi-Urban,1,96757.86,48203.28,True
M,55.0,2021.21,Low,Working,Sales staff,Rural,61165.39,237.54,2.0,812.25,1,Unpossessed,Urban,1,104000.54,45874.04,True
F,32.0,2853.55,Low,Working,Not available,Semi-Urban,39100.5,190.92,4.0,709.46,0,Inactive,Rural,1,59792.19,27370.35,True
M,20.0,1628.56,Low,Working,Laborers,Semi-Urban,74503.66,322.61,1.0,862.17,1,Inactive,Semi-Urban,1,95018.85,59602.93,True
F,18.0,0.0,Low,Working,Not available,Semi-Urban,11827.54,102.58,1.0,653.34,0,Inactive,Rural,1,20035.14,7687.9,True
M,18.0,0.0,Low,Working,High skill tech staff,Semi-Urban,246597.03749999998,643.1,1.0,788.96,0,Active,Semi-Urban,1,302910.05,175758.28,True
F,38.0,2822.68,Low,Working,Managers,Rural,184118.94,946.50875,2.0,822.55,1,Unpossessed,Urban,1,298920.86,128883.26,True
F,62.0,3441.59,Low,Working,Core staff,Semi-Urban,101812.44,458.81,3.0,860.62,0,Active,Rural,1,130160.01,76359.33,True
